time_days, BrdUfrac, Bcelltype
2,0.106646225,immatureB
2,0.526211033,immatureB
2,0.582129697,immatureB
2,0.610156271,immatureB
2,0.638129051,immatureB
2,0.67306813,immatureB
4,0.919605153,immatureB
4,0.884639178,immatureB
4,0.583904893,immatureB
4,0.444040991,immatureB
4,0.430081498,immatureB
4,0.311143387,immatureB
7,0.978159714,immatureB
7,0.894214476,immatureB
7,0.551574814,immatureB
7,0.537588424,immatureB
7,0.502622448,immatureB
7,0.425697302,immatureB
2,0.232748288,maturecircul
2,0.154195205,maturecircul
2,0.114940068,maturecircul
2,0.058818493,maturecircul
4,0.196275685,maturecircul
4,0.145761986,maturecircul
4,0.128938356,maturecircul
4,0.100898973,maturecircul
7,0.169563356,maturecircul
7,0.152739726,maturecircul
7,0.130308219,maturecircul
2,0.195811936,transitionalB
2,0.190256233,transitionalB
2,0.123587792,transitionalB
2,0.101364979,transitionalB
4,0.436090786,transitionalB
4,0.286086795,transitionalB
4,0.263863981,transitionalB
4,0.247196871,transitionalB
4,0.197195541,transitionalB
7,0.643759146,transitionalB
7,0.510422265,transitionalB
7,0.427086715,transitionalB
7,0.20485858,transitionalB
2,0.06509434,splenicmatureB
2,0.048113208,splenicmatureB
2,0.022641509,splenicmatureB
4,0.164150943,splenicmatureB
4,0.076415094,splenicmatureB
4,0.059433962,splenicmatureB
4,0.050943396,splenicmatureB
7,0.133018868,splenicmatureB
7,0.113207547,splenicmatureB
7,0.079245283,splenicmatureB
7,0.073584906,splenicmatureB
7,0.067924528,splenicmatureB
