time_days, BrdUfrac, Bcelltype
0.038277512,0.026024548,immatureB
0.765550239,0.429186603,immatureB
1.263157895,0.558810069,immatureB
2.43062201,0.604732682,immatureB
1.95215311,0.601164968,immatureB
7.043062201,0.601560225,immatureB
0.038261195,-8.31765E-06,maturecircul
1.316600992,0.09026315,maturecircul
2.574562544,0.124648319,maturecircul
4.47988688,0.148270448,maturecircul
7.014025639,0.182098335,maturecircul
1.661995394,0.139886196,transitionalB
3.6783328,0.377284603,transitionalB
5.548852148,0.52766309,transitionalB
6.893022007,0.597812729,transitionalB
1.502121083,0.006322799,splenicmatureB
4.014645328,0.050640474,splenicmatureB
5.442585543,0.079711242,splenicmatureB
6.889361393,0.107027061,splenicmatureB
