time,cell_fraction, cell_type
9.346733668,2.307742069,GM
12.06030151,6.517203555,GM
16.28140704,5.488140329,GM
20.8040201,1.257640816,GM
26.98492462,0.184167104,GM
9.313473278,0.046257691,RBC
12.17893404,0.696284707,RBC
15.83116265,5.755792292,RBC
20.73176829,7.730711849,RBC
26.58075338,6.090983137,RBC
33.87553326,4.450964105,RBC
41.77417924,3.774679236,RBC
51.12926509,2.833041669,RBC
60.99628229,1.144313352,RBC
74.69262345,0.105418505,RBC
89.63830937,0,RBC
34,2.692951699,T
42,6.007847071,T
51,4.711055276,T
61,3.459208355,T
75,2.454305108,T
90,2.143712968,T
110,1.766884797,T
34,3.60,T_upper
42,8.53,T_upper
51,6.82,T_upper
61,5.09,T_upper
75,3.62,T_upper
90,3.18,T_upper
110,2.49,T_upper
16,5.085070877,B
21,8.645756769,B
27,6.699064352,B
34,3.655666392,B
42,2.716774169,B
51,1.979683867,B
61,1.847268057,B
75,1.08860534,B
90,0.979477612,B
110,0.983274582,B
16,7.35,B_upper
21,10.79,B_upper
27,8.21,B_upper
34,5.79,B_upper
42,3.42,B_upper
51,2.54,B_upper
61,2.46,B_upper
75,1.35,B_upper
90,1.23,B_upper
110,1.28,B_upper
