time,cell_count,cell_type
9.013442741,11.06758493,B
12.15178386,147.0282815,B
16.27479155,171.1907033,B
21.42387174,161.0825359,B
27.09421263,211.831816,B
34.17122006,166.0597261,B
42.29018169,246.64396, B
51.30192282,232.0805615, B
61.20814505,151.5712178,B
74.98156586,126.2762237,B
90.30005105,105.20259,B
110.3847535,98.99077256,B
16,0.177754226,T
21,1.39143215,T
26,15.25316219,T
34,30.99576468,T
42,26.61764918,T
50,28.60959929,T
61,16.88464675,T
74,14.47495553,T
90,12.87545994,T
110,8.162908875,T
