time,cell_count,type
5,3247260.432,SP4
5,293098.1617,SP8
10,3206461.732,SP4
10,217785.895,SP8
15,7895966.555,SP4
15,507608.3675,SP8
25,11588806.6,SP4
25,818149.755,SP8
30,10332806.63,SP4
30,929120.07,SP8
55,8670837.903,SP4
55,749345.05,SP8
70,14593315.37,SP4
70,649530.585,SP8
80,12139371.07,SP4
80,614372.9,SP8
100,11092379.37,SP4
100,364152.82,SP8
150,8189354.68,SP4
150,267109.62,SP8
175,9371296.71,SP4
175,385663.05,SP8
275,5639943.205,SP4
275,206088.97,SP8
295,5384807.96,SP4
295,141383.07,SP8
