Time_day,rel_Blood_PMN,G_CSF_ug
0.97, 16.46, 0
2.02, 18.90, 0
2.46, 11.41, 0
2.95, 22.63, 0
3.49, 25.02, 0
3.98, 19.61, 0
4.49, 30.05, 0
4.96, 26.46, 0
5.45, 31.18, 0
5.99, 43.96, 0
6.48, 71.54, 0
6.95, 90.03, 0
7.48, 101.51, 0
7.94, 99.48, 0
0.99, 33.60, 30
1.99, 23.83, 30
2.48, 32.97, 30
2.97, 37.43, 30
3.48, 46.05, 30
3.96, 53.11, 30
4.48, 66.15, 30
4.97, 92.69, 30
5.44, 96.37, 30
5.95, 101.88, 30
6.56, 78.82, 30
6.99, 84.32, 30
7.43, 54.75, 30
7.97, 64.67, 30
0.96, 23.21, 300
1.98, 32.92, 300
2.48, 37.13, 300
2.99, 73.28, 300
3.46, 93.84, 300
3.96, 107.40, 300
4.51, 85.89, 300
4.98, 80.23, 300
5.47, 82.35, 300
5.93, 56.94, 300
6.48, 38.29, 300
7.02, 28.22, 300
7.45, 16.83, 300
7.96, 20.26, 300
