time_day,T_DXd_ugperml,Dose
0.16264,20.02102,0.8mg/kg
0.55073,12.89447,0.8mg/kg
2.60205,6.50374,0.8mg/kg
7.88166,1.96333,0.8mg/kg
15.20759,0.16627,0.8mg/kg
0.16659,31.85552,1.6mg/kg
0.65369,23.18358,1.6mg/kg
2.70542,12.27925,1.6mg/kg
7.88998,5.21942,1.6mg/kg
15.22548,1.36069,1.6mg/kg
22.46135,0.29172,1.6mg/kg
22.50129,31.85552,1.6mg/kg
44.50404,0.3635,1.6mg/kg
44.63985,31.0863,1.6mg/kg
51.77174,3.28038,1.6mg/kg
59.10745,0.87635,1.6mg/kg
66.44336,0.23991,1.6mg/kg
0.75934,57.27456,3.2mg/kg
3.00762,32.64378,3.2mg/kg
8.09463,14.57075,3.2mg/kg
15.33612,6.04389,3.2mg/kg
22.57491,1.82451,3.2mg/kg
22.60819,91.12977,3.2mg/kg
44.42501,3.36155,3.2mg/kg
51.88842,29.60313,3.2mg/kg
58.93358,11.69339,3.2mg/kg
66.46895,4.85037,3.2mg/kg
0.66429,80.6458,5.4mg/kg
2.71686,47.10165,5.4mg/kg
7.9035,25.56485,5.4mg/kg
15.14603,11.98274,5.4mg/kg
22.68161,5.09338,5.4mg/kg
22.61027,116.36367,5.4mg/kg
44.53108,8.72071,5.4mg/kg
44.55167,98.06351,5.4mg/kg
51.79233,36.88748,5.4mg/kg
59.1322,16.06737,5.4mg/kg
66.47207,6.99859,5.4mg/kg
0.57049,131.49098,6.4mg/kg
7.81011,43.77125,6.4mg/kg
15.24919,22.07746,6.4mg/kg
22.49276,11.69339,6.4mg/kg
22.61297,159.89013,6.4mg/kg
44.53462,13.21354,6.4mg/kg
44.65358,156.02922,6.4mg/kg
51.69832,58.69181,6.4mg/kg
59.13636,26.19745,6.4mg/kg
66.4781,14.21891,6.4mg/kg
0.57028,128.31584,8.0mg/kg
2.72206,86.78184,8.0mg/kg
7.90807,43.77125,8.0mg/kg
15.24877,21.02411,8.0mg/kg
22.59009,10.86659,8.0mg/kg
22.51585,176.31307,8.0mg/kg
44.53815,20.02102,8.0mg/kg
44.65504,185.14668,8.0mg/kg
51.79857,76.79807,8.0mg/kg
59.13844,33.45154,8.0mg/kg
66.48267,24.34512,8.0mg/kg
